team1,team2,toss_winner,toss_decision,winner,venue
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,Feroz Shah Kotla
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,Feroz Shah Kotla
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,Sawai Mansingh Stadium
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,Eden Gardens
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,M Chinnaswamy Stadium
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Eden Gardens
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Wankhede Stadium
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk"
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,Eden Gardens
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,Wankhede Stadium
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,Wankhede Stadium
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Dr DY Patil Sports Academy
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Newlands
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Newlands
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Newlands
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers,Newlands
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,St George's Park
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Kingsmead
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,Newlands
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils,Kingsmead
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Newlands
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,Kingsmead
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,Kingsmead
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,St George's Park
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,Newlands
Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,Kingsmead
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,St George's Park
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,SuperSport Park
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Kingsmead
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,Kingsmead
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,SuperSport Park
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,SuperSport Park
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Buffalo Park
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kingsmead
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,St George's Park
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,New Wanderers Stadium
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,St George's Park
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,New Wanderers Stadium
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,Buffalo Park
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,Kingsmead
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Kingsmead
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,SuperSport Park
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SuperSport Park
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,SuperSport Park
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,Buffalo Park
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,De Beers Diamond Oval
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,De Beers Diamond Oval
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,St George's Park
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,New Wanderers Stadium
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,De Beers Diamond Oval
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,SuperSport Park
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,SuperSport Park
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,Kingsmead
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,Kingsmead
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Kingsmead
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,OUTsurance Oval
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,St George's Park
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,New Wanderers Stadium
Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab,New Wanderers Stadium
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,OUTsurance Oval
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,SuperSport Park
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore,New Wanderers Stadium
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Kingsmead
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,Kingsmead
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,SuperSport Park
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,SuperSport Park
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,SuperSport Park
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,New Wanderers Stadium
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,New Wanderers Stadium
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,Dr DY Patil Sports Academy
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Brabourne Stadium
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,"Sardar Patel Stadium, Motera"
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,Eden Gardens
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Feroz Shah Kotla
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,Feroz Shah Kotla
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,Barabati Stadium
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera"
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,Brabourne Stadium
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,Barabati Stadium
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,Brabourne Stadium
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Brabourne Stadium
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera"
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,M Chinnaswamy Stadium
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera"
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,Dr DY Patil Sports Academy
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Brabourne Stadium
